,publication_number,abstract_en,Citations,Tokens,TokenizedCitations,TF-IDF
0,US-2004215390-A1,"A recommended route calculation method for calculating a recommended route from a current position to a destination based upon map data constituted of nodes and links, includes steps of: extracting attribute data of a link from data related to the links, the attribute data indicating characteristics of the link; judging whether or not the extracted attribute data of the link match attribute data having been input; and processing so that selectability of the link as a part of the recommended route is raised, when judging that the extracted attribute data of the link match the attribute data having been input.","US-6269303-B1,US-2002128767-A1,US-2003093217-A1,US-2003225508-A9,US-6701248-B2,US-2005015197-A1","['recommended', 'route', 'calculation', 'method', 'calculating', 'recommended', 'route', 'current', 'position', 'destination', 'based', 'upon', 'map', 'data', 'constituted', 'nodes', 'links', 'includes', 'steps', 'extracting', 'attribute', 'data', 'link', 'data', 'related', 'links', 'attribute', 'data', 'indicating', 'characteristics', 'link', 'judging', 'whether', 'extracted', 'attribute', 'data', 'link', 'match', 'attribute', 'data', 'input', 'processing', 'selectability', 'link', 'part', 'recommended', 'route', 'raised', 'judging', 'extracted', 'attribute', 'data', 'link', 'match', 'attribute', 'data', 'input']","['US-6269303', 'US-2002128767', 'US-2003093217', 'US-2003225508', 'US-6701248', 'US-2005015197']","[(0, 0.5957361752035576), (1, 0.036787871808287374), (2, 0.07525906431358978), (3, 0.09281133986922593), (4, 0.07066283408735426), (5, 0.1103636154248621), (6, 0.0549923509701829), (7, 0.2955875496792066), (8, 0.0817370869782901), (9, 0.1634741739565802), (10, 0.0817370869782901), (11, 0.017858755044178408), (12, 0.07066283408735426), (13, 0.1028544756694061), (14, 0.2207272308497242), (15, 0.35331417043677127), (16, 0.15051812862717956), (17, 0.07205299482117315), (18, 0.17643021928598085), (19, 0.02306923284725141), (20, 0.07714085675205459), (21, 0.046632535867017766), (22, 0.04035298494376721), (23, 0.049545445396238244), (24, 0.09281133986922593), (25, 0.33109084627458635), (26, 0.061721981507746555), (27, 0.27843401960767783), (28, 0.1103636154248621), (29, 0.05656510534545921), (30, 0.05064772861681071), (31, 0.05602346806093858)]"
1,US-4492118-A,"Plate stock of uneven and variable thickness is tested for defects by means of ultrasonics whereby the zone adjacent the front surface and up to a depth of the minimum plate thickness is detected conventionally, but under utilization of a novel method the zone of variable thickness adjacent the rear wall is tested by detecting any echo in a gating period (15) that is returned from that zone or from the rear wall, and such an echo is used to set up a supplemental gating period during which either none or the rear wall echo will occur and in the latter case the setting up of the supplemental gating period is interpreted as having resulted from the presence of a defect (for example, echo 12) so that the occurrence of the rear wall echo 9 within the supplemental gating period is registered as an indication of a defect.","US-3872715-A,US-4147065-A","['plate', 'stock', 'uneven', 'variable', 'thickness', 'tested', 'defects', 'means', 'ultrasonics', 'whereby', 'zone', 'adjacent', 'front', 'surface', 'depth', 'minimum', 'plate', 'thickness', 'detected', 'conventionally', 'utilization', 'novel', 'method', 'zone', 'variable', 'thickness', 'adjacent', 'rear', 'wall', 'tested', 'detecting', 'echo', 'gating', 'period', '_NUM_', 'returned', 'zone', 'rear', 'wall', 'echo', 'used', 'set', 'supplemental', 'gating', 'period', 'either', 'none', 'rear', 'wall', 'echo', 'occur', 'latter', 'case', 'setting', 'supplemental', 'gating', 'period', 'interpreted', 'resulted', 'presence', 'defect', 'example', 'echo', '_NUM_', 'occurrence', 'rear', 'wall', 'echo', '_NUM_', 'within', 'supplemental', 'gating', 'period', 'registered', 'indication', 'defect']","['US-3872715', 'US-4147065']","[(19, 0.021574165456686976), (32, 0.05658177258192021), (33, 0.09266902316875687), (34, 0.05845090346665678), (35, 0.10321118674988064), (36, 0.17359287288428898), (37, 0.09285463238328368), (38, 0.06608332770895055), (39, 0.05772191256552131), (40, 0.05239270752551762), (41, 0.5160559337494032), (42, 0.0539669358266722), (43, 0.049259199748492834), (44, 0.05572677334235357), (45, 0.41284474699952256), (46, 0.07214152365008973), (47, 0.09285463238328368), (48, 0.07214152365008973), (49, 0.03870208734208468), (50, 0.0673833951139389), (51, 0.10321118674988064), (52, 0.05772191256552131), (53, 0.07413666287325744), (54, 0.09285463238328368), (55, 0.23088765026208524), (56, 0.0954508162843657), (57, 0.05572677334235357), (58, 0.2401005270712455), (59, 0.08679643644214449), (60, 0.10321118674988064), (61, 0.0824980780166867), (62, 0.044464405305290416), (63, 0.0673833951139389), (64, 0.10321118674988064), (65, 0.278563897149851), (66, 0.03059903050252322), (67, 0.1649961560333734), (68, 0.1826374668390797), (69, 0.10321118674988064), (70, 0.09285463238328368), (71, 0.0345538944984666), (72, 0.0824980780166867), (73, 0.12175831122605311), (74, 0.19544296057976832), (75, 0.06002513176781137), (76, 0.03381771852884671), (77, 0.19134032551998148)]"
2,US-5260173-A,"A manufacturing process to produce a controllable integral membrane (28) in sheet-like photosensitive laminates (20), said photosensitive laminate being adapted to adhere to the surface to be etched (36). By the use of the present invention the revealed image (33) washes out without detail roots leaving the substrate (22), transfers easily, even if it is very fine, and can be etched on said surface to be etched very nicely.","US-3916050-A,US-4371602-A,US-4430416-A,US-4511640-A,US-4587186-A,US-4716096-A,US-4764449-A,US-4801490-A","['manufacturing', 'process', 'produce', 'controllable', 'integral', 'membrane', '_NUM_', 'sheetlike', 'photosensitive', 'laminates', '_NUM_', 'said', 'photosensitive', 'laminate', 'adapted', 'adhere', 'surface', 'etched', '_NUM_', 'use', 'present', 'invention', 'revealed', 'image', '_NUM_', 'washes', 'without', 'detail', 'roots', 'leaving', 'substrate', '_NUM_', 'transfers', 'easily', 'even', 'fine', 'etched', 'said', 'surface', 'etched', 'nicely']","['US-4511640', 'US-4716096', 'US-4764449', 'US-4371602', 'US-4587186', 'US-3916050', 'US-4801490', 'US-4430416']","[(32, 0.17175492104763745), (66, 0.1114606452560897), (78, 0.08562667278964553), (79, 0.16911707773885779), (80, 0.15808322441740183), (81, 0.1879795745790025), (82, 0.11428586306454573), (83, 0.5639387237370076), (84, 0.1203582307371124), (85, 0.12531971638600167), (86, 0.08320615991592999), (87, 0.13922072757725712), (88, 0.049364212990736275), (89, 0.13922072757725712), (90, 0.1879795745790025), (91, 0.14418221322614638), (92, 0.10386355976361504), (93, 0.14418221322614638), (94, 0.1879795745790025), (95, 0.33823415547771557), (96, 0.06081867485007095), (97, 0.06942119508667476), (98, 0.10932437741565644), (99, 0.1879795745790025), (100, 0.16911707773885779), (101, 0.15987338620840774), (102, 0.1879795745790025), (103, 0.08320615991592999), (104, 0.13139208405856836), (105, 0.06492890779638881), (106, 0.1879795745790025), (107, 0.07701823864871549)]"
3,US-2008003366-A1,A method of processing a substrate is described. A coupling agent and a metal ion solution are applied to the substrate. An activating solution is applied to activate metal ions of the metal ion solution to create a metal film out of the ions. Atoms of the metal film are used to catalyze a metal of a base metal solution to form a metal layer. The metal layer can be used as a seed layer for electroplating purposes.,"US-5882736-A,US-2002192379-A1,US-6555158-B1,US-2004013601-A1,US-2004086646-A1,US-2004235294-A1,US-2004266173-A1","['method', 'processing', 'substrate', 'described', 'coupling', 'agent', 'metal', 'ion', 'solution', 'applied', 'substrate', 'activating', 'solution', 'applied', 'activate', 'metal', 'ions', 'metal', 'ion', 'solution', 'create', 'metal', 'film', 'ions', 'atoms', 'metal', 'film', 'used', 'catalyze', 'metal', 'base', 'metal', 'solution', 'form', 'metal', 'layer', 'metal', 'layer', 'used', 'seed', 'layer', 'electroplating', 'purposes']","['US-2004013601', 'US-2004266173', 'US-2002192379', 'US-5882736', 'US-2004086646', 'US-2004235294', 'US-6555158']","[(19, 0.033526530828684), (23, 0.0720044274335621), (71, 0.10739439367698583), (103, 0.14198948892103067), (108, 0.14429729397571514), (109, 0.12820307517741472), (110, 0.08758831690556614), (111, 0.1570255453574189), (112, 0.10269434190370702), (113, 0.06571496842528485), (114, 0.1603915127740156), (115, 0.10269434190370702), (116, 0.10083582630033167), (117, 0.0700271440538541), (118, 0.14429729397571514), (119, 0.16604178163466798), (120, 0.05616964205657363), (121, 0.24604378796195495), (122, 0.25640615035482944), (123, 0.19833565476644022), (124, 0.630244296484687), (125, 0.1348827795003079), (126, 0.1348827795003079), (127, 0.41885865354363316)]"
4,US-2007200204-A1,"A transmission line substrate includes a spurious-wave suppression circuit in which a divider divides a signal line of a driving control signal connected to a semiconductor device into two signal lines of the same phase. A delay unit is connected to one of the two signal lines, and includes a signal line with a length of substantially one half of an in-substrate effective wavelength of a spurious wave. Two parallel lines that include two parallel signal lines, on which spurious waves are in opposite phases, are connected to the delay unit and the other one of the two signal lines, respectively. A resistor is arranged on the two parallel lines, and connects between the two parallel signal lines. A combiner includes a signal line that combines the two parallel signal lines, and outputs a combined signal to the outside.","US-3916353-A,US-4438415-A,US-5075647-A,US-5821815-A,US-6028494-A","['transmission', 'line', 'substrate', 'includes', 'spuriouswave', 'suppression', 'circuit', 'divider', 'divides', 'signal', 'line', 'driving', 'control', 'signal', 'connected', 'semiconductor', 'device', 'two', 'signal', 'lines', 'phase', 'delay', 'unit', 'connected', 'one', 'two', 'signal', 'lines', 'includes', 'signal', 'line', 'length', 'substantially', 'one', 'half', 'insubstrate', 'effective', 'wavelength', 'spurious', 'wave', 'two', 'parallel', 'lines', 'include', 'two', 'parallel', 'signal', 'lines', 'spurious', 'waves', 'opposite', 'phases', 'connected', 'delay', 'unit', 'one', 'two', 'signal', 'lines', 'respectively', 'resistor', 'arranged', 'two', 'parallel', 'lines', 'connects', 'two', 'parallel', 'signal', 'lines', 'combiner', 'includes', 'signal', 'line', 'combines', 'two', 'parallel', 'signal', 'lines', 'outputs', 'combined', 'signal', 'outside']","['US-5075647', 'US-6028494', 'US-3916353', 'US-5821815', 'US-4438415']","[(11, 0.054894029965746216), (103, 0.05005222819032153), (128, 0.04970758945553975), (129, 0.04424842011493801), (130, 0.07240086113244573), (131, 0.10173148928418548), (132, 0.09509413280935172), (133, 0.11880100828370094), (134, 0.08122409115276225), (135, 0.03960033609456697), (136, 0.1624481823055245), (137, 0.025392225936177727), (138, 0.09509413280935172), (139, 0.09509413280935172), (140, 0.06487843855944897), (141, 0.06487843855944897), (142, 0.11307812512263847), (143, 0.04376692260129269), (144, 0.11307812512263847), (145, 0.05686466371647116), (146, 0.2233648880985773), (147, 0.505920790715804), (148, 0.05444554095129447), (149, 0.053106590885457106), (150, 0.07538541674842565), (151, 0.060385980051118816), (152, 0.2767626846065474), (153, 0.06175091491457945), (154, 0.11307812512263847), (155, 0.08374749697089874), (156, 0.059126148182778226), (157, 0.060385980051118816), (158, 0.486732621264318), (159, 0.20346297856837095), (160, 0.11307812512263847), (161, 0.04839731152183788), (162, 0.11307812512263847), (163, 0.06105422529399274), (164, 0.306887628936694), (165, 0.08109365432513901), (166, 0.0790382176072795), (167, 0.08122409115276225), (168, 0.08374749697089874)]"
5,US-4348915-A,"This invention relates to switching apparatus for mechanical remote control of the gear box of the motor vehicle. 
     A gear lever 1 is connected to one end of a gear selector rod 4 such that movement of the gear lever can cause axial or rotary movement of the rod. A two arm intermediate link 5 is connected to the other end of rod 4 for movement therewith. One arm is operatively connected to main gear shaft 13 by a link (10, 11 and 12) while the other arm is operatively connected to main gear shaft 13 by a link (6, 15, 16-19, 22, 24, 25, 30 and 31). The first mentioned link converts the rotary movement of rod 4 into longitudinal movement of shaft 13, while the second link converts axial movement of rod 4 into rotary movement of shaft 13. 
     The two links are so arranged so as to take up or absorb vibrational or other movement transmitted from the gear box so as to reduce or avoid vibration of gear lever 1.","US-2819626-A,US-3645145-A,US-3805635-A","['invention', 'relates', 'switching', 'apparatus', 'mechanical', 'remote', 'control', 'gear', 'box', 'motor', 'vehicle', 'gear', 'lever', '_NUM_', 'connected', 'one', 'end', 'gear', 'selector', 'rod', '_NUM_', 'movement', 'gear', 'lever', 'cause', 'axial', 'rotary', 'movement', 'rod', 'two', 'arm', 'intermediate', 'link', '_NUM_', 'connected', 'end', 'rod', '_NUM_', 'movement', 'therewith', 'one', 'arm', 'operatively', 'connected', 'main', 'gear', 'shaft', '_NUM_', 'link', '_NUM_', '_NUM_', '_NUM_', 'arm', 'operatively', 'connected', 'main', 'gear', 'shaft', '_NUM_', 'link', '_NUM_', '_NUM_', '_NUM_', '_NUM_', '_NUM_', '_NUM_', '_NUM_', '_NUM_', '_NUM_', 'first', 'mentioned', 'link', 'converts', 'rotary', 'movement', 'rod', '_NUM_', 'longitudinal', 'movement', 'shaft', '_NUM_', 'second', 'link', 'converts', 'axial', 'movement', 'rod', '_NUM_', 'rotary', 'movement', 'shaft', '_NUM_', 'two', 'links', 'arranged', 'take', 'absorb', 'vibrational', 'movement', 'transmitted', 'gear', 'box', 'reduce', 'avoid', 'vibration', 'gear', 'lever', '_NUM_']","['US-3805635', 'US-2819626', 'US-3645145']","[(15, 0.29271664456265617), (16, 0.06235125172467865), (32, 0.3842984560243379), (88, 0.024011198402684796), (128, 0.04019355175377359), (133, 0.12808331087609554), (135, 0.032020827719023884), (148, 0.029349772566023696), (164, 0.06203732634878955), (169, 0.08226007183852029), (170, 0.029096951882173268), (171, 0.1756299867375937), (172, 0.06391029467976266), (173, 0.10492139757755298), (174, 0.14026305771595643), (175, 0.057483838309246624), (176, 0.14026305771595643), (177, 0.06464334344050711), (178, 0.020976586157379663), (179, 0.48765312222879525), (180, 0.054735406100383834), (181, 0.1870537551740359), (182, 0.04993178348915911), (183, 0.09765619459611469), (184, 0.06235125172467865), (185, 0.0914349604178991), (186, 0.04780939737806841), (187, 0.35806444558157796), (188, 0.14026305771595643), (189, 0.054735406100383834), (190, 0.03597831784293273), (191, 0.055589674511368), (192, 0.28251451612935535), (193, 0.15952908943589947), (194, 0.022479251805587602), (195, 0.07308518325914147), (196, 0.19747376133260966), (197, 0.055589674511368), (198, 0.06567779180524987), (199, 0.06235125172467865), (200, 0.054735406100383834), (201, 0.04328581020939767), (202, 0.07308518325914147), (203, 0.0914349604178991)]"
6,US-4542125-A,"Antimicrobial surface degerming compositions comprising a bis[4-(substituted-amino)-1-pyridinium]alkane, especially octenidine hydrochloride, as the antimicrobial agent, one or more compounds selected from the group consisting of higher-alkyldilower-alkylamine oxides, higher-alkylaminoalkanoic acids, higher-alkyldiloweralkylammoniumalkanoate betaines and quaternary nitrogen-containing cellulose ethers, and an aqueous vehicle, especially antimicrobial skin cleansing compositions and antimicrobial bovine teat dip compositions, and method of use thereof are disclosed.","US-3055902-A,GB-930040-A,FR-1528558-A,US-3472840-A,US-4045483-A,US-4206215-A,US-4420484-A,","['antimicrobial', 'surface', 'degerming', 'compositions', 'comprising', 'bis', '_NUM_', 'substitutedamino', '_NUM_', 'pyridiniumalkane', 'especially', 'octenidine', 'hydrochloride', 'antimicrobial', 'agent', 'one', 'compounds', 'selected', 'group', 'consisting', 'higheralkyldiloweralkylamine', 'oxides', 'higheralkylaminoalkanoic', 'acids', 'higheralkyldiloweralkylammoniumalkanoate', 'betaines', 'quaternary', 'nitrogencontaining', 'cellulose', 'ethers', 'aqueous', 'vehicle', 'especially', 'antimicrobial', 'skin', 'cleansing', 'compositions', 'antimicrobial', 'bovine', 'teat', 'dip', 'compositions', 'method', 'use', 'thereof', 'disclosed']","['US-4045483', 'FR-1528558', 'US-3472840', 'US-4420484', 'GB-930040', 'US-4206215', 'US-3055902']","[(19, 0.03236566697031908), (32, 0.05658949857267493), (66, 0.04590481299717378), (105, 0.053481645717300796), (110, 0.08455555124215032), (148, 0.02485076663334771), (201, 0.07330111779430766), (204, 0.10822706138403561), (205, 0.6193516786852394), (206, 0.10322527978087326), (207, 0.15483791967130986), (208, 0.1393009669088851), (209, 0.1393009669088851), (210, 0.13021243216739065), (211, 0.15483791967130986), (212, 0.24043882000527214), (213, 0.08180740980792657), (214, 0.04968095952986705), (215, 0.08555194126527879), (216, 0.15483791967130986), (217, 0.15483791967130986), (218, 0.04968095952986705), (219, 0.22244035771988044), (220, 0.1393009669088851), (221, 0.07514449173192837), (222, 0.15483791967130986), (223, 0.15483791967130986), (224, 0.15483791967130986), (225, 0.15483791967130986), (226, 0.15483791967130986), (227, 0.15483791967130986), (228, 0.12376401414646035), (229, 0.15483791967130986), (230, 0.1393009669088851), (231, 0.0658434901418349), (232, 0.10322527978087326), (233, 0.15483791967130986), (234, 0.15483791967130986), (235, 0.05689637596219962)]"
7,US-5498336-A,"A filter for removing leukocytes and thrombocytes from a solution containing blood components, such as CRC, comprises a filter material having a first surface serving as an inlet surface and a second surface serving as an outlet surface. The outlet surface has a positive zeta potential greater than that of the inlet surface in an electrolyte solution having a pH value of 5.0 to 7.0.","US-4246107-A,JP-S5653616-A,US-4366068-A,EP-0077633-A1,US-4416777-A,US-4523995-A,JP-S6177752-A,US-4617124-A,US-4673504-A,JP-S63200052-A,EP-0331174-A1,JP-H01224325-A,JP-H01224324-A,US-4880548-A,JP-H01320064-A,JP-H01320065-A,US-4915839-A,US-4936993-A,US-4936998-A,US-4985153-A,GB-2238055-A,US-5100564-A,US-5133878-A,US-5164087-A,US-5215692-A,","['filter', 'removing', 'leukocytes', 'thrombocytes', 'solution', 'containing', 'blood', 'components', 'crc', 'comprises', 'filter', 'material', 'first', 'surface', 'serving', 'inlet', 'surface', 'second', 'surface', 'serving', 'outlet', 'surface', 'outlet', 'surface', 'positive', 'zeta', 'potential', 'greater', 'inlet', 'surface', 'electrolyte', 'solution', 'ph', 'value', '_NUM_', '_NUM_']","['EP-0077633', 'US-4880548', 'JP-H01320065', 'US-5100564', 'US-4936998', 'US-5164087', 'EP-0331174', 'JP-H01320064', 'US-4416777', 'US-4366068', 'JP-S6177752', 'JP-S63200052', 'US-4985153', 'GB-2238055', 'US-4523995', 'JP-S5653616', 'US-5215692', 'US-4915839', 'US-4673504', 'US-5133878', 'US-4936993', 'US-4617124', 'JP-H01224324', 'US-4246107', 'JP-H01224325']","[(32, 0.08233415507670808), (66, 0.4007316644330466), (127, 0.2941559436764039), (178, 0.051682563153079245), (194, 0.05538486302584227), (236, 0.1618183529609012), (237, 0.11779381929758877), (238, 0.07198483258374984), (239, 0.08964769345838161), (240, 0.22527941776335633), (241, 0.15018627850890423), (242, 0.26203412947069765), (243, 0.11660777819257631), (244, 0.2657622911296144), (245, 0.22527941776335633), (246, 0.08404322076654855), (247, 0.26203412947069765), (248, 0.16684559755727138), (249, 0.1618183529609012), (250, 0.14162991448700785), (251, 0.13696303307114416), (252, 0.36013768599006285), (253, 0.22527941776335633), (254, 0.10186739706987703), (255, 0.22527941776335633)]"
8,US-4401423-A,"An electrically heated sterilization chamber 9 for a hollow blow molding needle 15 is embodied in a half-mold 1A and exits directly into the mold cavity 3, 4. A three-way distributor core 11 enables the selective connection of the sterilization chamber to the mold cavity or to a circuit 21 comprising a vacuum source 35 and a source of sterile water vapor 37 coupled in parallel. The needle is initially sterilized by the hot water vapor, and thereafter maintained in a sterile state by the electrical heating and its confinement within the half-mold.",US-3712784-A,"['electrically', 'heated', 'sterilization', 'chamber', '_NUM_', 'hollow', 'blow', 'molding', 'needle', '_NUM_', 'embodied', 'halfmold', '_NUM_', 'exits', 'directly', 'mold', 'cavity', '_NUM_', '_NUM_', 'threeway', 'distributor', 'core', '_NUM_', 'enables', 'selective', 'connection', 'sterilization', 'chamber', 'mold', 'cavity', 'circuit', '_NUM_', 'comprising', 'vacuum', 'source', '_NUM_', 'source', 'sterile', 'water', 'vapor', '_NUM_', 'coupled', 'parallel', 'needle', 'initially', 'sterilized', 'hot', 'water', 'vapor', 'thereafter', 'maintained', 'sterile', 'state', 'electrical', 'heating', 'confinement', 'within', 'halfmold']",['US-3712784'],"[(32, 0.26622159494523), (76, 0.053038322845775684), (129, 0.06334194851199518), (152, 0.07923757581785945), (214, 0.05193796107855196), (256, 0.14562939737846264), (257, 0.19380202393481671), (258, 0.1747991718107136), (259, 0.14562939737846264), (260, 0.0873995859053568), (261, 0.08644298777919644), (262, 0.07428588530351193), (263, 0.09548037095487753), (264, 0.16187219251548074), (265, 0.07428588530351193), (266, 0.09052868044053003), (267, 0.14562939737846264), (268, 0.11314380710442645), (269, 0.1361279713164111), (270, 0.3237443850309615), (271, 0.11627290163959965), (272, 0.0873995859053568), (273, 0.11038375011734146), (274, 0.11988517617939301), (275, 0.12415759014733858), (276, 0.11038375011734146), (277, 0.23977035235878602), (278, 0.1036423810423749), (279, 0.23977035235878602), (280, 0.1079147950103205), (281, 0.1453382954983986), (282, 0.07663118102069578), (283, 0.2722559426328222), (284, 0.2912587947569253), (285, 0.16187219251548074), (286, 0.1361279713164111), (287, 0.16187219251548074), (288, 0.1056813534434322), (289, 0.2587732044828891), (290, 0.16757462273112694)]"
9,US-4191996-A,"Computer and memory system on a wafer which contains redundant elements and which is capable of self-testing and self-configuration to form a complete system consisting of a central processing unit (CPU), a read only memory unit (ROM), and a plurality of read/write random access memory units (RAM). These units are interconnected by a common bus, which is also available for external connections to the wafer. The first CPU tests each ROM to find a good one and then uses the program contained in that ROM to test itself. If the first CPU does not test satisfactorily, the remaining CPU&#39;s are tested until a good one is found. The RAM&#39;s are then tested with the good ROM and CPU, and the results are tabulated to form a page oriented computer system.","US-3405258-A,US-3519808-A,US-3585599-A,US-3631315-A,US-3704363-A,US-3758761-A,US-3798606-A,US-3838260-A,US-3879712-A,US-3913072-A,US-3916178-A,US-3917933-A,US-3921141-A,US-4025767-A,US-4038648-A,US-4058851-A,US-4066880-A","['computer', 'memory', 'system', 'wafer', 'contains', 'redundant', 'elements', 'capable', 'selftesting', 'selfconfiguration', 'form', 'complete', 'system', 'consisting', 'central', 'processing', 'unit', 'cpu', 'read', 'memory', 'unit', 'rom', 'plurality', 'readwrite', 'random', 'access', 'memory', 'units', 'ram', 'units', 'interconnected', 'common', 'bus', 'also', 'available', 'external', 'connections', 'wafer', 'first', 'cpu', 'tests', 'rom', 'find', 'good', 'one', 'uses', 'program', 'contained', 'rom', 'test', 'first', 'cpu', 'test', 'satisfactorily', 'remaining', 'cpu', '_NUM_', 'tested', 'good', 'one', 'found', 'ram', '_NUM_', 'tested', 'good', 'rom', 'cpu', 'results', 'tabulated', 'form', 'page', 'oriented', 'computer', 'system']","['US-3405258', 'US-3916178', 'US-3519808', 'US-3585599', 'US-3838260', 'US-3921141', 'US-3704363', 'US-3879712', 'US-4025767', 'US-4038648', 'US-3917933', 'US-3631315', 'US-4058851', 'US-3913072', 'US-3758761', 'US-3798606', 'US-4066880']","[(23, 0.050262249249239305), (32, 0.040918774641622586), (67, 0.17898274172186987), (120, 0.07841774873893731), (148, 0.035938219817784924), (165, 0.080292018153647), (178, 0.051370835167786635), (215, 0.06186095818275424), (291, 0.05300262408496771), (292, 0.03186659063634851), (293, 0.07168515594424155), (294, 0.08291962673367133), (295, 0.0579522239935169), (296, 0.06423709487439748), (297, 0.07038783051829266), (298, 0.08042116557237643), (299, 0.11708333537942862), (300, 0.07825690007150518), (301, 0.06806846416593271), (302, 0.05854166768971431), (303, 0.5598015621989724), (304, 0.050626487393324475), (305, 0.06423709487439748), (306, 0.0941540975231011), (307, 0.08587467908262608), (308, 0.23477070021451552), (309, 0.08587467908262608), (310, 0.16890761611695718), (311, 0.11196031243979448), (312, 0.08949137086093494), (313, 0.03319288464068807), (314, 0.07168515594424155), (315, 0.20145168330072943), (316, 0.08949137086093494), (317, 0.06261495065568305), (318, 0.11196031243979448), (319, 0.11196031243979448), (320, 0.07634788260640771), (321, 0.07309542897218402), (322, 0.44784124975917794), (323, 0.10072584165036472), (324, 0.11196031243979448), (325, 0.11196031243979448), (326, 0.08231122623602058), (327, 0.11196031243979448), (328, 0.14619085794436804), (329, 0.10072584165036472), (330, 0.13404485856415083), (331, 0.07634788260640771), (332, 0.16583925346734266)]"
