Publication_Number,Abstract
US-6573393-B1,"The invention relates to a method for producing L-ascorbic acid from 2-keto-L-gulonic acid or 2,3-4,6-diacetone-2-keto-L-gulonic acid. The reaction is carried out in the presence of water and hydrogen halide and the concentration of the hydrogen halide in water is greater than 37 wt. %."
US-7295414-B2,"A power output device includes a bridged output stage, a reference voltage generator and a detecting unit to compare the output voltages from the aforementioned two units. The bridged output stage may be implemented by a full-bridge or a half-bridge configuration. The reference voltage generator is symmetric to the bridged output stage to generate a reference voltage, which is served as a reference voltage range for the voltage difference of the two terminals of the turned-on transistors in the bridged output stage during operation. When the detecting unit detects the voltages across the two terminals of the turned-on transistors in the bridged output stage exceed the reference voltage range, all the transistors are turned off and no power is outputted to the load. Therefore, the circuit is capable of preventing damages caused by a large current due to overload or short circuit."
US-6597387-B1,"A thermal printer includes a printer body, a thermal printhead installed in the printer body, a print ribbon installed in the printer body, and a control circuit for controlling the thermal printhead and the print ribbon. The print ribbon has regions of colored dye, regions of resistant overcoating, and regions of stampable overcoating capable of accepting an ink stamp. The print ribbon can be supplied as two exchangeable ribbons, one having colored dye and regions of resistant overcoating, the other having regions of stampable overcoating. The control circuit controls the thermal printhead and the print ribbon to print pictures having stampable images. An ink stamp can be externally applied to a stampable overcoating layer of the picture, an intermediate resistant overcoating layer protecting the image from damage."
US-6786308-B1,"An anti-lock brake system for a bicycle having sliding assembly (having a brake shoe therein) and a plurality of springs defined in a brake shoe holder in turn, a bottom of the brake shoe holder and a connecting side of the sliding assembly are correspondingly in gradient formed and both of them to be abutted against each other and they are slanted formed outwardly in accordance with the direction of the rotation of the tire of the bicycle. The sliding assembly further includes a plurality of recesses formed therein for receiving sliding members, an abrasion-resistant member disposed at the bottom of the recess of the brake shoe holder."
US-6958450-B2,"Apparatus and systems, as well as fabrication methods therefor, may include a component having a plurality of contacts substantially equally spaced apart from each other by a first distance along a first line coupled to an angled parallel conductor group having a plurality of conductors substantially equally spaced apart from each other by a second distance less than the first distance along a second line."
US-7127953-B1,"A target flow meter has a target with a broad face attached to the free end of a rigid stalk. A fixed end of the stalk is attached to a rigid support secured in the system to be measured with the broad face of the target disposed transverse to the fluid flow. The support and the stalk may be made in one piece. Recesses in the support at the junction with the stalk, one upstream, and one downstream of the flow may reduce the thickness of the support so that bending of the support in response to flow forces is concentrated at the recesses. Strain gauges are attached to the support at the recess areas to measure target movement. The support is sealed to the fluid chamber with the gauges outside the fluid chamber. The recesses in the support may be on the fluid side or the outside of the support."
US-7286605-B2,"A crest factor reduction circuit for reducing a crest factor (CF) of a multi-tone-data signal which is transmitted in a predetermined transmission frequency band, 
     wherein the crest factor reduction circuit ( 8 ) comprises means ( 34 ) for subtracting a multi-tone-correction signal from said multi-tone-data signal, 
     wherein the multi-tone-correction signal comprises a plurality of tone signals having frequencies outside said transmission frequency band."
US-7191661-B2,"A capacitive pressure sensor made up of two silicon on insulator (SOI) wafers lying opposite of each other and joined to each other in a vacuum-tight manner, a recess being formed between the two wafers. The first wafer exclusively supports the evaluation circuits required for measuring the applied pressure and a capacitive electrode, and the second wafer has a recess formed by surface micromechanics processes, in which the counter electrode to the capacitive electrode of the first wafer is situated. The second wafer at the same time forms a cover for the first wafer."
US-6457881-B1,"An image sensing apparatus such as digital still camera and video camera having a protection cover for protecting an image sensing optical system. The cover is openable and closable The image sensing apparatus comprises a cover driver for driving the protection cover; and a control circuit which determines whether the apparatus is set in a image sensing mode, or in an external control mode in which the apparatus is controlled by an external controller unit. The circuit determines an operation of the cover driver in accordance with a determination result."
US-6521394-B1,"The incorporation of coupler chemistry into the fluorescent element results in a greatly improved fluorescence imaging element, displaying higher photographic speed, higher contrast, and improved image discrimination. The coupler chemistry comprises the combination of a developing agent that generates an oxidized form on reaction with exposed silver halide, together with a molecule capable of forming a stable reaction product, preferably a dye, by reaction with the oxidized form of the developer. This will have the effect of a sink for oxidized developer formed during development. In a preferred embodiment, dye-forming chemistry is combined with fluorescent imaging to provide dramatic improvements in performance of the fluorescent system."
US-6583608-B2,"A voltage/current controller device, particularly for interleaving switching regulators, comprises: a DC/DC converter having a plurality of modules, with each module including a drive transistor pair connected in series between first and second supply voltage references, a current sensor connected to one transistor in the pair, and a current read circuit connected to the sensor. Advantageously, the read circuit comprises a transconductance amplifier connected across the current sensor to sense a voltage signal related to a load current being applied to each module, the transconductance amplifier reading the voltage signal with the transistor in the conducting state."
US-6893307-B1,"The ergonomic swim fin apparatus comprises a foot-pocket sized to fit about a user&#39;s foot, channeling scoops are positioned on opposite sides of the footpocket, and a flexible blade extends from the foot-pocket to a trailing edge. A “wing shaped” tail fin is secured to the trailing edge of the flexible blade. The channeling scoops are rounded to channel the water displaced by the user&#39;s foot over the flexible blade and tail fin. The flexible blade and wing like tail fin channel water while enhancing lift and thrust. At least one securing strap is used to secure the user&#39;s foot to the foot-pocket. The tail fin is preferably selectively attachable and removable from the distal end of the flexible blade. The flow of water across the foot is converted by the channeling scoops into a propulsion stroke in both the up and down strokes, while allowing the foot the freedom to flex naturally at the ankle and toe joints."
US-7161610-B2,"A cleaning roller and a platen roller are provided in a first rotating plate which rotates around a main shaft. The cleaning roller and the platen roller are disposed at an equal distance from the main shaft. In printing, the platen roller is positioned at a facing position to face the thermal head. In cleaning the thermal head, the rotating plate rotates to retract the platen roller from the facing position, and then the cleaning roller is positioned at the facing position in place of the platen roller. The foreign matters on the thermal head are scraped off by rotating the cleaning roller in a state that the cleaning roller is contacted with the thermal head."
US-7350975-B2,"The invention provides a hydrodynamic bearing device with a function of circulating the operating fluid by supplying the operating fluid to between the cover and the sleeve by way of a circular communication path, the hydrodynamic bearing device allowing the cover for covering the sleeve to be satisfactorily bonded, preventing the operating fluid from leaking outward, and preventing the adhesive from blocking the opening of the circular communication path; and a spindle motor. An adhesive inflow allowing space for allowing the adhesive from the adhesive setting and bonding part to flow in is formed between the adhesive setting and bonding part for setting the adhesive and bonding the cover and the sleeve, and a space region on the open end side between the cover and the sleeve for circulating and introducing the operating fluid so as to create a space in the cover."
US-6568338-B2,"A sewing machine capable of preventing formation of no first stitch (skipping stitch), which is readily caused immediately after the sewing machine starts to operate, is obtained. In this sewing machine, a motor is so stopped as to locate a thread engaging part of a balance in the vicinity of a forward movement starting point leftward beyond a thread receiving opening of a thread guide plate. Thus, the thread engaging part of the balance reliably captures and pulls a needle thread immediately after the sewing machine starts to operate. Consequently, formation of no first stitch (skipping stitch), which is readily caused immediately after the sewing machine starts to operate, is prevented."
US-6772388-B2,"An adaptive and dynamic forward error correction scheme for a communication channel is disclosed. The method and apparatus calculates the actual bit error rate for comparison with a target bit error rate. When a channel is performing better than required by the performance specifications, the forward error correction power can be reduced to provide greater throughput. If the calculated actual bit error rate is greater than the target bit error rate, then the forward error correction power is increased in an attempt to lower the calculated bit error rate. A feedback loop is employed to continually calculate revised bit error rates as the forward error correction power is increased or decreased."
US-7017467-B1,"A method of defense against optically guided missiles, said method comprising the steps of:
         mounting a single-ended laser adjacent the area to be protected emitting electromagnetic radiation at a frequency within the sensitive frequency range of said guided missile,   directing said radiation toward an area within which said radiation may be reflected by components of said missile,   causing lasing operation of said laser in response to reflection of said radiation by components of said missile, and   modulating the output of said laser in response to said lasing operation for misdirecting said guided missile."
US-7120378-B2,"An electrophotographic apparatus using a liquid developer of the present invention includes a photosensitive member which holds an electrostatic latent image, a plurality of developing unit which supply liquid developers including toner particles and carrier liquid to the photosensitive member to form a visible image, a visible image stabilizing unit which enhances adsorption among toners constituting the visible image on the photosensitive member and between the toners and the photosensitive member by an electric field, a drying unit which dries the visible image formed on the photosensitive member, a periphery of the visible image, or the carrier liquids included in the visible image by an air current, and a shielding unit which is disposed between the drying unit and the visible image stabilizing unit and which prevents deposits attached to the photosensitive member surface together with liquid droplets of the carrier liquid existing on the photosensitive member surface from reaching the visible image stabilizing mechanism."
US-6568160-B1,"A removable stirrup cover and removable leather cover for providing substantial protection against abrasions and scuff marks of the flap and panel area of an english saddle. The covers consist of smooth, nonabrasive materials that help preserve the value and aesthetics of the english saddle. The stirrup cover is employed during storage of the saddle by placing the stirrup cover over the stirrup providing protection to the saddle. The leather cover is alternatively employed during use of the english saddle by covering the saddle leathers with the leather covers, preventing saddle abrasions created by the leathers rubbing against the panel area."
US-7064532-B1,"In a voltage regulator according to an embodiment of the present invention, a delay circuit delays an enable signal by a delay time or less, the delay time corresponding to a certain time from a start of charging of the output capacitor to a completion of the charging of the output capacitor, and sends the delayed enable signal as a delayed signal to a mode selector. An overcurrent protection circuit unit operates according to a constant current type drooping characteristic from a time point of input of the enable signal. The overcurrent protection circuit unit operates according to a current limiting characteristic that can lower an output current below an upper limit value after a time point of input of the delayed signal. Thereby the output current having the upper limit value is prevented from continuing to flow after a time point of completion of charging of the output capacitor at the latest. The voltage regulator according to the embodiment of the present invention can protect the regulator itself and a load without lengthening a starting time."
US-7159163-B2,"Methods and apparatus are presented for dynamically controlling the re-transmission scheme of acknowledgment signals. A source transmits a first data packet over a slot s 1 . If channel conditions are favorable, source transmits a second data packet over slot s 2 , which precedes the reception of any acknowledgment signals. A destination receives first data packet over slot d 1  and second data packet over slot d 2 . Destination decodes first data packet during slots d 2  and d 3 , and second data packet over slots d 3  and d 4 . Destination transmits an acknowledgment signal (ACK 1 ) associated with first data packet during slot d 4 . Rather then transmitting the second ACK 1  associated with first data packet over slot d 5 , destination preempts this slot with an acknowledgment signal ACK 2,  which is associated with second data packet transmitted by source. Hence, destination is configured to overwrite the repetition of a previous acknowledgment in order to transmit a new acknowledgment."
